,Model Name,Noise level,Accuracy,STD,Set,b
117,NeighborHoodClassifier,0.2,0.7368,0.013891004283348283,Test,2.5
118,AdaBoostClassifier,0.2,0.7215999999999999,0.011128342194594855,Train,2.5
119,AdaBoostClassifier,0.2,0.7851999999999999,0.036278919498794325,Test,2.5
120,NeighborHoodClassifier,0.2,0.6524000000000001,0.02411306699696248,Train,3.0
121,NeighborHoodClassifier,0.2,0.7504000000000001,0.013705473359209464,Test,3.0
122,AdaBoostClassifier,0.2,0.6968000000000001,0.022648620267027273,Train,3.0
123,AdaBoostClassifier,0.2,0.7884,0.037553162316907474,Test,3.0
124,NeighborHoodClassifier,0.2,0.7411999999999999,0.130234250487343,Train,4.0
125,NeighborHoodClassifier,0.2,0.738,0.03197499022673814,Test,4.0
126,AdaBoostClassifier,0.2,0.694,0.02836899716239541,Train,4.0
127,AdaBoostClassifier,0.2,0.7939999999999999,0.030802597293085515,Test,4.0
128,NeighborHoodClassifier,0.25,0.6584000000000001,0.03556177723342858,Train,0.25
129,NeighborHoodClassifier,0.25,0.754,0.07116178749862877,Test,0.25
130,AdaBoostClassifier,0.25,0.6532000000000001,0.03133304964410581,Train,0.25
131,AdaBoostClassifier,0.25,0.7499999999999999,0.06644095122738684,Test,0.25
132,NeighborHoodClassifier,0.25,0.6784000000000001,0.03342813186524188,Train,0.5
133,NeighborHoodClassifier,0.25,0.7567999999999999,0.018956792977716474,Test,0.5
134,AdaBoostClassifier,0.25,0.6624,0.009499473669630342,Train,0.5
135,AdaBoostClassifier,0.25,0.7636000000000001,0.02621144788064942,Test,0.5
136,NeighborHoodClassifier,0.25,0.788,0.17334820449026866,Train,1.0
137,NeighborHoodClassifier,0.25,0.7091999999999999,0.07545700762685997,Test,1.0
138,AdaBoostClassifier,0.25,0.6836,0.027810789273229886,Train,1.0
139,AdaBoostClassifier,0.25,0.7764,0.04224499970410701,Test,1.0
140,NeighborHoodClassifier,0.25,0.7140000000000001,0.1435325746999614,Train,1.5
141,NeighborHoodClassifier,0.25,0.7363999999999999,0.020015993605114905,Test,1.5
142,AdaBoostClassifier,0.25,0.6660000000000001,0.017064583206161207,Train,1.5
143,AdaBoostClassifier,0.25,0.7607999999999999,0.03258465896706607,Test,1.5
144,NeighborHoodClassifier,0.25,0.7068000000000001,0.14732603300163893,Train,2.0
145,NeighborHoodClassifier,0.25,0.6928000000000001,0.07663523993568495,Test,2.0
146,AdaBoostClassifier,0.25,0.6816,0.02017523234066955,Train,2.0
147,AdaBoostClassifier,0.25,0.752,0.023933240482642566,Test,2.0
148,NeighborHoodClassifier,0.25,0.6508,0.014620533505997665,Train,2.5
149,NeighborHoodClassifier,0.25,0.7308,0.018443427013437624,Test,2.5
150,AdaBoostClassifier,0.25,0.6656000000000001,0.021369136622708947,Train,2.5
151,AdaBoostClassifier,0.25,0.75,0.036726012579641726,Test,2.5
152,NeighborHoodClassifier,0.25,0.7163999999999999,0.1421289555298286,Train,3.0
153,NeighborHoodClassifier,0.25,0.7219999999999999,0.043744713966375415,Test,3.0
154,AdaBoostClassifier,0.25,0.6776,0.026605262637305404,Train,3.0
155,AdaBoostClassifier,0.25,0.7636000000000001,0.035964426868782436,Test,3.0
156,NeighborHoodClassifier,0.25,0.6428,0.005878775382679633,Train,4.0
157,NeighborHoodClassifier,0.25,0.7628,0.02073065363175992,Test,4.0
158,AdaBoostClassifier,0.25,0.6608,0.01142628548566857,Train,4.0
159,AdaBoostClassifier,0.25,0.792,0.0411242021199196,Test,4.0
160,NeighborHoodClassifier,0.3,0.6260000000000001,0.020238577025077645,Train,0.25
161,NeighborHoodClassifier,0.3,0.7356,0.026514901470682507,Test,0.25
