,Model Name,Noise level,Accuracy,STD,Set,b
126,AdaBoostClassifier,0.2,0.7692,0.021562931155109707,Train,4.0
127,AdaBoostClassifier,0.2,0.8924,0.03488036697054665,Test,4.0
128,NeighborHoodClassifier,0.25,0.6895999999999999,0.006374950980203644,Train,0.25
129,NeighborHoodClassifier,0.25,0.8268000000000001,0.013775340286178024,Test,0.25
130,AdaBoostClassifier,0.25,0.7292,0.004664761515876244,Train,0.25
131,AdaBoostClassifier,0.25,0.9044000000000001,0.00741889479639657,Test,0.25
132,NeighborHoodClassifier,0.25,0.6880000000000001,0.014532721699667921,Train,0.5
133,NeighborHoodClassifier,0.25,0.8220000000000001,0.01512613632095119,Test,0.5
134,AdaBoostClassifier,0.25,0.7288,0.01933287355775133,Train,0.5
135,AdaBoostClassifier,0.25,0.8932,0.02525391058826338,Test,0.5
136,NeighborHoodClassifier,0.25,0.9996,0.0008000000000000006,Train,1.0
137,NeighborHoodClassifier,0.25,0.9028,0.03825388869121673,Test,1.0
138,AdaBoostClassifier,0.25,0.7336,0.008890444308357155,Train,1.0
139,AdaBoostClassifier,0.25,0.8916000000000001,0.02801142624001858,Test,1.0
140,NeighborHoodClassifier,0.25,0.9992000000000001,0.0016000000000000014,Train,1.5
141,NeighborHoodClassifier,0.25,0.9151999999999999,0.01718604084715268,Test,1.5
142,AdaBoostClassifier,0.25,0.7272000000000001,0.01521052267346525,Train,1.5
143,AdaBoostClassifier,0.25,0.9124000000000001,0.009243376006633082,Test,1.5
144,NeighborHoodClassifier,0.25,1.0,0.0,Train,2.0
145,NeighborHoodClassifier,0.25,0.8712,0.025411808278829766,Test,2.0
146,AdaBoostClassifier,0.25,0.7288,0.008255906976220126,Train,2.0
147,AdaBoostClassifier,0.25,0.9075999999999999,0.04458519933789686,Test,2.0
148,NeighborHoodClassifier,0.25,0.9984,0.001959591794226544,Train,2.5
149,NeighborHoodClassifier,0.25,0.8524,0.02559374923687425,Test,2.5
150,AdaBoostClassifier,0.25,0.732,0.007375635565834316,Train,2.5
151,AdaBoostClassifier,0.25,0.8932,0.033955264687526764,Test,2.5
152,NeighborHoodClassifier,0.25,0.9992000000000001,0.0016000000000000014,Train,3.0
153,NeighborHoodClassifier,0.25,0.8092,0.009765244492586943,Test,3.0
154,AdaBoostClassifier,0.25,0.7283999999999999,0.010150862032359625,Train,3.0
155,AdaBoostClassifier,0.25,0.8932,0.017870646322950958,Test,3.0
156,NeighborHoodClassifier,0.25,0.9356,0.07818337419170397,Train,4.0
157,NeighborHoodClassifier,0.25,0.7428000000000001,0.06480246908876236,Test,4.0
158,AdaBoostClassifier,0.25,0.7284,0.023061656488639337,Train,4.0
159,AdaBoostClassifier,0.25,0.8939999999999999,0.024265201420964985,Test,4.0
160,NeighborHoodClassifier,0.3,0.642,0.010583005244258372,Train,0.25
161,NeighborHoodClassifier,0.3,0.8156000000000001,0.01981514572240131,Test,0.25
162,AdaBoostClassifier,0.3,0.6808,0.012172099243762311,Train,0.25
163,AdaBoostClassifier,0.3,0.8644000000000001,0.0393019083506132,Test,0.25
164,NeighborHoodClassifier,0.3,0.6416000000000001,0.016069847541280546,Train,0.5
165,NeighborHoodClassifier,0.3,0.8176,0.02326886331559836,Test,0.5
166,AdaBoostClassifier,0.3,0.6828,0.006273754856543222,Train,0.5
167,AdaBoostClassifier,0.3,0.9347999999999999,0.0441923070228292,Test,0.5
168,NeighborHoodClassifier,0.3,0.9996,0.0008000000000000007,Train,1.0
169,NeighborHoodClassifier,0.3,0.8672000000000001,0.04228664091648803,Test,1.0
170,AdaBoostClassifier,0.3,0.6892000000000001,0.018829763673503683,Train,1.0
171,AdaBoostClassifier,0.3,0.8827999999999999,0.03053129541961824,Test,1.0
172,NeighborHoodClassifier,0.3,1.0,0.0,Train,1.5
173,NeighborHoodClassifier,0.3,0.8699999999999999,0.02241428116179506,Test,1.5
174,AdaBoostClassifier,0.3,0.6900000000000001,0.015949921629901467,Train,1.5
175,AdaBoostClassifier,0.3,0.8960000000000001,0.015491933384829683,Test,1.5
176,NeighborHoodClassifier,0.3,0.9975999999999999,0.0032000000000000028,Train,2.0
177,NeighborHoodClassifier,0.3,0.8276,0.008616263691415214,Test,2.0
178,AdaBoostClassifier,0.3,0.6839999999999999,0.0177087548969429,Train,2.0
179,AdaBoostClassifier,0.3,0.8912000000000001,0.023137847782367334,Test,2.0
180,NeighborHoodClassifier,0.3,0.9992000000000001,0.0016000000000000014,Train,2.5
181,NeighborHoodClassifier,0.3,0.7991999999999999,0.014399999999999986,Test,2.5
182,AdaBoostClassifier,0.3,0.6876,0.011482160075525829,Train,2.5
183,AdaBoostClassifier,0.3,0.9012,0.048966927614462405,Test,2.5
184,NeighborHoodClassifier,0.3,0.9635999999999999,0.06886973210344297,Train,3.0
185,NeighborHoodClassifier,0.3,0.7444,0.05773595067200332,Test,3.0
186,AdaBoostClassifier,0.3,0.6884,0.01346996659238615,Train,3.0
187,AdaBoostClassifier,0.3,0.8692,0.020419598428960368,Test,3.0
188,NeighborHoodClassifier,0.3,0.9655999999999999,0.06880000000000003,Train,4.0
189,NeighborHoodClassifier,0.3,0.7103999999999999,0.045858914073492844,Test,4.0
190,AdaBoostClassifier,0.3,0.6824,0.014051334456200198,Train,4.0
191,AdaBoostClassifier,0.3,0.8880000000000001,0.037587231874667254,Test,4.0
192,NeighborHoodClassifier,0.35,0.6152,0.011496086290559942,Train,0.25
193,NeighborHoodClassifier,0.35,0.8208,0.017645396000090182,Test,0.25
194,AdaBoostClassifier,0.35,0.6516,0.01576832267554163,Train,0.25
195,AdaBoostClassifier,0.35,0.8747999999999999,0.02997599039231234,Test,0.25
196,NeighborHoodClassifier,0.35,0.6296,0.010537551897855603,Train,0.5
197,NeighborHoodClassifier,0.35,0.7379999999999999,0.08325382874078523,Test,0.5
198,AdaBoostClassifier,0.35,0.6492,0.012936769303036994,Train,0.5
199,AdaBoostClassifier,0.35,0.8032,0.0883592666334437,Test,0.5
200,NeighborHoodClassifier,0.35,0.9984,0.001959591794226544,Train,1.0
201,NeighborHoodClassifier,0.35,0.876,0.039375119047439115,Test,1.0
202,AdaBoostClassifier,0.35,0.6548,0.015574337867145441,Train,1.0
203,AdaBoostClassifier,0.35,0.8744,0.07964320435542507,Test,1.0
204,NeighborHoodClassifier,0.35,0.9984,0.001959591794226544,Train,1.5
205,NeighborHoodClassifier,0.35,0.8324,0.03228374203836971,Test,1.5
206,AdaBoostClassifier,0.35,0.6464000000000001,0.024344198487524723,Train,1.5
207,AdaBoostClassifier,0.35,0.8384,0.07668533106142271,Test,1.5
208,NeighborHoodClassifier,0.35,0.9588000000000001,0.080414923988026,Train,2.0
209,NeighborHoodClassifier,0.35,0.7295999999999999,0.052374039370665315,Test,2.0
210,AdaBoostClassifier,0.35,0.6472,0.02049780476051035,Train,2.0
211,AdaBoostClassifier,0.35,0.8248,0.07169490916376142,Test,2.0
212,NeighborHoodClassifier,0.35,0.9224,0.0936324729994888,Train,2.5
213,NeighborHoodClassifier,0.35,0.6724,0.06592601914267235,Test,2.5
214,AdaBoostClassifier,0.35,0.6412,0.02569357896440278,Train,2.5
215,AdaBoostClassifier,0.35,0.8128,0.08805997955938893,Test,2.5
216,NeighborHoodClassifier,0.35,0.9975999999999999,0.001959591794226544,Train,3.0
217,NeighborHoodClassifier,0.35,0.7156,0.019975985582694016,Test,3.0
218,AdaBoostClassifier,0.35,0.6444000000000001,0.025811625287842706,Train,3.0
219,AdaBoostClassifier,0.35,0.8859999999999999,0.02979932885150271,Test,3.0
220,NeighborHoodClassifier,0.35,0.9684000000000001,0.05922702086041473,Train,4.0
221,NeighborHoodClassifier,0.35,0.67,0.03222421449779651,Test,4.0
222,AdaBoostClassifier,0.35,0.6484,0.010384603988597745,Train,4.0
223,AdaBoostClassifier,0.35,0.8676,0.0583287236273862,Test,4.0
224,NeighborHoodClassifier,0.4,0.5839999999999999,0.012328828005937926,Train,0.25
225,NeighborHoodClassifier,0.4,0.8119999999999999,0.04151144420518273,Test,0.25
226,AdaBoostClassifier,0.4,0.6123999999999999,0.02391317628421622,Train,0.25
227,AdaBoostClassifier,0.4,0.8036,0.04891461949151807,Test,0.25
228,NeighborHoodClassifier,0.4,0.6716,0.13506975975398786,Train,0.5
229,NeighborHoodClassifier,0.4,0.772,0.048563360674483816,Test,0.5
230,AdaBoostClassifier,0.4,0.6032,0.012432216214336054,Train,0.5
231,AdaBoostClassifier,0.4,0.8108000000000001,0.06709515630803764,Test,0.5
232,NeighborHoodClassifier,0.4,0.9984,0.001959591794226544,Train,1.0
233,NeighborHoodClassifier,0.4,0.8368,0.01924993506482556,Test,1.0
234,AdaBoostClassifier,0.4,0.606,0.0243310501211929,Train,1.0
235,AdaBoostClassifier,0.4,0.8248,0.028722116913625976,Test,1.0
236,NeighborHoodClassifier,0.4,0.9984,0.001959591794226544,Train,1.5
237,NeighborHoodClassifier,0.4,0.7696000000000001,0.015768322675541634,Test,1.5
238,AdaBoostClassifier,0.4,0.5984,0.022392856003645465,Train,1.5
239,AdaBoostClassifier,0.4,0.8240000000000001,0.11025787953701993,Test,1.5
240,NeighborHoodClassifier,0.4,0.9039999999999999,0.08233589739597184,Train,2.0
241,NeighborHoodClassifier,0.4,0.6339999999999999,0.05918107805709524,Test,2.0
242,AdaBoostClassifier,0.4,0.5936,0.009414881836751864,Train,2.0
243,AdaBoostClassifier,0.4,0.8012,0.056774642226966085,Test,2.0
244,NeighborHoodClassifier,0.4,0.9640000000000001,0.06807055163578449,Train,2.5
245,NeighborHoodClassifier,0.4,0.6388,0.036079911308095014,Test,2.5
246,AdaBoostClassifier,0.4,0.6228,0.01912485294061109,Train,2.5
247,AdaBoostClassifier,0.4,0.7848,0.05392735854832869,Test,2.5
248,NeighborHoodClassifier,0.4,0.8808,0.09765736019368944,Train,3.0
249,NeighborHoodClassifier,0.4,0.6148,0.03825388869121678,Test,3.0
250,AdaBoostClassifier,0.4,0.6104,0.010537551897855602,Train,3.0
251,AdaBoostClassifier,0.4,0.828,0.03989987468652,Test,3.0
252,NeighborHoodClassifier,0.4,0.9212,0.09504188550318221,Train,4.0
253,NeighborHoodClassifier,0.4,0.6128,0.030947697814215545,Test,4.0
254,AdaBoostClassifier,0.4,0.6072,0.018529975715040767,Train,4.0
255,AdaBoostClassifier,0.4,0.7976,0.04582401117318299,Test,4.0
256,NeighborHoodClassifier,0.45,0.5504,0.010910545357588668,Train,0.25
257,NeighborHoodClassifier,0.45,0.7172,0.12304535749064242,Test,0.25
258,AdaBoostClassifier,0.45,0.6003999999999999,0.01948948434412775,Train,0.25
259,AdaBoostClassifier,0.45,0.7732,0.06739258119407504,Test,0.25
260,NeighborHoodClassifier,0.45,0.6732,0.0684058477032483,Train,0.5
261,NeighborHoodClassifier,0.45,0.628,0.08421876275510107,Test,0.5
262,AdaBoostClassifier,0.45,0.5599999999999999,0.020861447696648446,Train,0.5
263,AdaBoostClassifier,0.45,0.7024,0.0822522948008139,Test,0.5
264,NeighborHoodClassifier,0.45,0.9719999999999999,0.05203076013282912,Train,1.0
265,NeighborHoodClassifier,0.45,0.712,0.07404863266799734,Test,1.0
266,AdaBoostClassifier,0.45,0.5864,0.02681492121935099,Train,1.0
