,decision_tree,adaboost,samba,random_forest,random_scm,scm
metabolomics_bleuets-ID_6570,0.0,0.0,0.0,0.0,0.003656702540851088,0.0
metabolomics_bleuets-ID_16142,0.0,0.0,0.0,0.0036509550383024294,0.0,0.0
metabolomics_bleuets-ID_2886,0.0,0.0,0.0,0.00364547533427989,0.0,0.0
metabolomics_bleuets-ID_13561,0.0,0.0,0.0,0.003623952451244563,0.0,0.0
metabolomics_bleuets-ID_2090,0.0,0.0,0.0,0.0,0.003619389249617913,0.0
metabolomics_bleuets-ID_14047,0.0,0.0,0.0,0.0,0.003619389249617913,0.0
metabolomics_bleuets-ID_12311,0.0,0.0,0.0,0.0,0.0035828297622480356,0.0
metabolomics_bleuets-ID_4402,0.0,0.0,0.0,0.0,0.0035828297622480356,0.0
metabolomics_bleuets-ID_13202,0.0,0.0,0.0,0.0,0.0035828297622480356,0.0
metabolomics_bleuets-ID_8017,0.0,0.0,0.0,0.0,0.003547001464625555,0.0
metabolomics_bleuets-ID_7942,0.0,0.0,0.0,0.0,0.003547001464625555,0.0
metabolomics_bleuets-ID_12863,0.0,0.0,0.0,0.0,0.003547001464625555,0.0
metabolomics_bleuets-ID_14669,0.0,0.0,0.0,0.0,0.003547001464625555,0.0
metabolomics_bleuets-ID_5430,0.0,0.0,0.0,0.0035454257676479878,0.0,0.0
metabolomics_bleuets-ID_4312,0.0,0.0,0.0,0.0035142180666323667,0.0,0.0
metabolomics_bleuets-ID_1614,0.0,0.0,0.0,0.0,0.0035118826382431237,0.0
metabolomics_bleuets-ID_10350,0.0,0.0,0.0,0.0,0.0035118826382431237,0.0
metabolomics_bleuets-ID_12352,0.0,0.0,0.0,0.0,0.0035118826382431237,0.0
metabolomics_bleuets-ID_14510,0.0,0.0,0.0,0.0,0.0035118826382431237,0.0
metabolomics_bleuets-ID_7566,0.0,0.0,0.0,0.0034926226790450913,0.0,0.0
metabolomics_bleuets-ID_4450,0.0,0.0,0.0,0.0,0.0034774524162995636,0.0
metabolomics_bleuets-ID_8675,0.0,0.0,0.0,0.0,0.0034774524162995636,0.0
metabolomics_bleuets-ID_13513,0.0,0.0,0.0,0.0,0.0034774524162995636,0.0
metabolomics_bleuets-ID_8979,0.0,0.0,0.0,0.0,0.0034774524162995636,0.0
metabolomics_bleuets-ID_15399,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_5952,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_8537,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_2479,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_4797,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_8165,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_16500,0.0,0.0,0.0,0.0,0.0034436907423549077,0.0
metabolomics_bleuets-ID_2135,0.0,0.0,0.0,0.0,0.0034105783313707265,0.0
metabolomics_bleuets-ID_13016,0.0,0.0,0.0,0.0,0.0034105783313707265,0.0
metabolomics_bleuets-ID_10644,0.0,0.0,0.0,0.0,0.0034105783313707265,0.0
metabolomics_bleuets-ID_5077,0.0,0.0,0.0,0.0034086569365642627,0.0,0.0
metabolomics_bleuets-ID_4767,0.0,0.0,0.0,0.0033795690735215116,0.0,0.0
metabolomics_bleuets-ID_13088,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_7452,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_15912,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_16414,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_16541,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_5724,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_8243,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_4349,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_7364,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_13112,0.0,0.0,0.0,0.0,0.00337809663297672,0.0
metabolomics_bleuets-ID_5657,0.0,0.0,0.0,0.0033510487265903705,0.0,0.0
metabolomics_bleuets-ID_6365,0.0,0.0,0.0,0.0,0.0033462277968165617,0.0
metabolomics_bleuets-ID_652,0.0,0.0,0.0,0.0,0.0033462277968165617,0.0
metabolomics_bleuets-ID_6853,0.0,0.0,0.0,0.0,0.0033462277968165617,0.0
metabolomics_bleuets-ID_745,0.0,0.0,0.0,0.0033398932579260456,0.0,0.0
metabolomics_bleuets-ID_5571,0.0,0.0,0.0,0.0033284023668639045,0.0,0.0
metabolomics_bleuets-ID_11201,0.0,0.0,0.0,0.0,0.0033149546398369674,0.0
metabolomics_bleuets-ID_9277,0.0,0.0,0.0,0.0,0.0033149546398369674,0.0
metabolomics_bleuets-ID_16235,0.0,0.0,0.0,0.0,0.0033149546398369674,0.0
metabolomics_bleuets-ID_11512,0.0,0.0,0.0,0.0,0.0033149546398369674,0.0
metabolomics_bleuets-ID_7908,0.0,0.0,0.0,0.0,0.0033149546398369674,0.0
metabolomics_bleuets-ID_16288,0.0,0.0,0.0,0.0,0.0033149546398369674,0.0
metabolomics_bleuets-ID_12371,0.0,0.0,0.0,0.003311838139021816,0.0,0.0
metabolomics_bleuets-ID_4696,0.0,0.0,0.0,0.0033059020559020537,0.0,0.0
metabolomics_bleuets-ID_8196,0.0,0.0,0.0,0.0,0.003284260615394033,0.0
metabolomics_bleuets-ID_2653,0.0,0.0,0.0,0.0,0.003284260615394033,0.0
metabolomics_bleuets-ID_430,0.0,0.0,0.0,0.0,0.003284260615394033,0.0
metabolomics_bleuets-ID_4561,0.0,0.0,0.0,0.0,0.003284260615394033,0.0
metabolomics_bleuets-ID_2700,0.0,0.0,0.0,0.0,0.003284260615394033,0.0
metabolomics_bleuets-ID_12956,0.0,0.0,0.0,0.0,0.003284260615394033,0.0
metabolomics_bleuets-ID_9470,0.0,0.0,0.0,0.003257918552036197,0.0,0.0
metabolomics_bleuets-ID_14209,0.0,0.0,0.0,0.0,0.003254129784060143,0.0
metabolomics_bleuets-ID_4357,0.0,0.0,0.0,0.0,0.003254129784060143,0.0
metabolomics_bleuets-ID_4235,0.0,0.0,0.0,0.0,0.003254129784060143,0.0
metabolomics_bleuets-ID_2109,0.0,0.0,0.0,0.0,0.003254129784060143,0.0
metabolomics_bleuets-ID_7674,0.0,0.0,0.0,0.0032301208771797,0.0,0.0
metabolomics_bleuets-ID_12510,0.0,0.0,0.0,0.0,0.003224546786023232,0.0
