,decision_tree,adaboost,samba,random_forest,random_scm,scm
mirna-ID_33,0.0,0.0017461621847248386,0.0,0.0004800616927980104,0.004366262533546061,0.011666666666666674
rna_iso-ID_494,0.0,0.0013488370882002098,0.006955014290580073,0.004938631918138958,0.004952609943874507,0.0
rna_iso-ID_1613,0.0,0.009815689213007106,0.0058834277736716815,0.0008804339034235462,0.00023983487063995233,0.0
mirna-ID_41,0.0009688919768722678,0.0004210944552520734,0.0,0.0010432629268611136,0.006344633086920908,0.008000000000000005
rna-ID_73,0.0,0.001991194859536516,0.010390849752169102,0.002360406261064905,0.0010652483774019551,0.0
methyl-ID_1179,0.0,0.004281629624582338,0.007181325764664303,0.001988611846484748,0.0017056888673540563,0.0
rna-ID_9,0.0,0.0016418559527696637,0.005292353823088462,0.004600942621481036,0.0034730369542393413,0.0
mirna-ID_30,0.0015301152948277125,0.0016702767094319202,0.0025589225589225614,0.0007772420386096074,0.004400697396007729,0.004000000000000003
methyl-ID_243,0.009001407333584083,0.0013940664964701029,0.0008695652173913052,0.0029953022927058383,0.00029382259053594903,0.0
rna_iso-ID_353,0.0,0.0019481541105342691,0.0008333333333333343,0.004431532694109411,0.006849888383833355,0.0
methyl-ID_1,0.0,0.0,0.0,5.650421962584178e-06,0.0,0.014000000000000009
mirna-ID_162,0.0014119657323103958,0.0003606747901962892,0.0,0.0004007639151460216,0.002723417182213775,0.009000000000000006
methyl-ID_1153,0.0,7.23195944940159e-05,0.0005555555555555561,0.0002105288086191566,0.001227568845582799,0.011333333333333341
clinic-ID_9,0.0025744540568440268,0.00254056004301973,0.0,0.0024015749101778078,0.005872344469409299,0.0
rna-ID_430,0.009622465722818774,0.0010953645942728264,0.00033333333333333365,0.0018430825244594917,0.0004520943869885369,0.0
mirna-ID_64,0.0009972260613713329,0.0017028068464403309,0.0,0.00679767710804847,0.0038158473443420755,0.0
mirna-ID_52,0.0008667689246304024,0.0002360433973895562,0.0,0.0003213600131472372,0.002806478789717231,0.009000000000000006
rna_iso-ID_1221,0.0002901169075626634,0.0005545790565299585,0.0,5.4660565204599386e-05,0.0003958950143877722,0.011666666666666674
methyl-ID_724,0.0017303937306218744,0.0007350364221693461,0.0,0.001269111626852627,0.001493404234065714,0.007333333333333338
mirna-ID_152,0.000786493854319577,0.0009488357854127135,0.0,0.00636872659981064,0.0039767961629208395,0.0
methyl-ID_676,0.0015386019967561255,0.0007867271572148798,0.0016904761904761923,0.003941998878724386,0.004033012092056878,0.0
rna_iso-ID_559,0.0,0.004057295617474312,0.005646050670640842,0.002039681008482381,0.00014254580543066023,0.0
rna-ID_535,0.0,0.003176730009798757,0.0027002371829958067,0.0008298799476724161,0.0010687058341660196,0.004000000000000003
clinic-ID_2,0.0004692250646039252,0.0018724546134024976,0.0005000000000000006,0.00041103665315106946,0.007929935614983329,0.0
methyl-ID_70,0.0,0.0010279304620401464,0.0,6.046925977809144e-05,1.9328897005685877e-05,0.010000000000000007
rna-ID_102,0.0,0.0006689460566070792,0.0,5.5450427555742905e-05,0.0003406540712669004,0.010000000000000007
rna-ID_792,0.001663253925656774,0.0005912027727398059,0.0,4.222335948264227e-05,0.002064884462837224,0.006666666666666671
rna_iso-ID_1336,0.0,0.001842145315521107,0.0047167577413479095,0.002800686642016271,0.0014252794755289793,0.0
rna-ID_731,0.0,1.2396850857920126e-06,0.0,4.93547825371815e-05,0.000599497444236044,0.010000000000000007
rna-ID_1209,0.0,0.00034927484019884144,0.0,6.603963341923e-05,0.0021552843923895427,0.008000000000000005
methyl-ID_490,0.0,0.000653228106089211,0.0,0.0021659269931036105,0.0010469473970038381,0.006666666666666671
rna_iso-ID_631,0.0,1.1143244803912278e-05,0.0,6.478075059916046e-05,0.00044609656498840273,0.010000000000000007
methyl-ID_141,0.0,0.0,0.0,0.00012813231459038837,0.00023499124624916834,0.010000000000000007
rna_iso-ID_75,0.0,0.00042313432317168346,0.0030711382113821173,0.004213910088956016,0.0025499149261721745,0.0
mirna-ID_87,0.0,0.00021809676388585497,0.0,0.001508869711747974,0.0018433537955550312,0.006666666666666671
rna_iso-ID_195,0.0,0.004511901070996441,0.0039806535298338615,0.0016468104045693074,5.850326177204419e-05,0.0
mirna-ID_70,0.0,0.0023020373161651946,0.0,0.005539180331326996,0.0023434376381552247,0.0
methyl-ID_93,0.0,0.0,0.0,2.4977587829329434e-05,0.0,0.010000000000000007
methyl-ID_0,0.0,0.0,0.0,1.7250196057915754e-05,0.0,0.010000000000000007
rna-ID_546,0.0,0.001954425574936923,0.005614238058016175,0.002152040218562589,0.00024122720864055156,0.0
rna-ID_84,0.0024739168825652753,0.0008075635841633102,0.0,0.005311053063866765,0.001174621701409639,0.0
rna-ID_180,0.0002855464038032618,3.773374802025066e-05,0.0,3.208438715348849e-05,0.0026781651089605963,0.006666666666666671
rna-ID_251,0.0,0.002993351469220042,0.002182408795602201,0.0037003791675166084,0.0008142602156617154,0.0
rna_iso-ID_80,0.0037737039399654746,0.0004006525651023826,0.0,0.004598638984623571,0.0009145286454718068,0.0
rna_iso-ID_354,0.0022415858234354075,0.0002282464414611865,0.0006734006734006741,0.003955207094332179,0.002145991678110746,0.0
methyl-ID_973,0.0,0.007193555817353492,0.0017391304347826105,0.00020436200253506255,0.0,0.0
rna-ID_467,0.0,0.0005352883849579209,0.003343915343915347,0.0037682627007882457,0.0014832136723954797,0.0
rna-ID_16,0.0,0.0,0.0,3.134708992340048e-05,0.0005279826855942306,0.008333333333333338
methyl-ID_1262,0.0,0.001799143677141282,0.00048780487804878103,0.000656708375384665,0.000591849416134716,0.005333333333333337
mirna-ID_196,0.0014490012428268473,0.005468417730744137,0.0,0.0005035450443334339,0.0012587856056675403,0.0
rna_iso-ID_826,7.252712289341768e-05,1.1506151769444869e-06,0.0,2.5836371383608814e-05,0.003191802576845941,0.005000000000000004
methyl-ID_77,0.0,0.0009827659048346272,0.0004347826086956526,0.0030090950910242023,0.0038326198812233107,0.0
methyl-ID_1008,0.0002901028303678688,0.0012160428795781294,0.0,0.0027474018205613294,0.0019212807471413091,0.0020000000000000013
